phrase,resultat
lake, 1
mountain, 0
water, 1
forest, 0
ocean, 1
Swan lake, 1
lake tour, 1
Plastira Lake, 1
Lilly Lake, 1
Jasper Reflections at Pyramid Lake, 1
Lake Matheson Sunset, 1
Swift current Lake, 1
Lake Kosobudno, 1
Chinook Lake, 1
at the lake, 1
Mildred Lake, 1
Lafarge lake, 1
Quiet lake, 1
Crescent Lake, 1
Medicine Lake, 1
Mountain forests, 0
new blind blue insect discovered in a cave in Valencia, 0
ground biodiversity hotspots worldwide: Agriculture eating areas biologically land used to grow cattle feed, 0
Animal agriculture cause of deforestation, 0
Weight of Wild Land Mammals, 0
biodiversity to my garden what's best for pollinators, 0
Mass Extinction, 0
Marine Sanctuary in Atlantic Ocean protects sharks whales seals and penguins, 1
A deepwater found pristine coral reef deep on the summit of submarine off Ecuador's Galapagos Islands, 1
Soaring Methane Emissions, 0
Clearing land to feed a growing threaten of species, 0
Attract Pollinators and Improve Your Harvest, 0
Plants on Mauritius lost seed dispersers finds study, 0
River Ecosystem Restoration Can Add Water, 1
animal populations wiped out, 0
Conserving acres, 0
Earth's microbial diversity, 0
Forest cats, 0
icefish colony nests found in Antarctic sea water [2C warmer than the surrounding area], 1
butterflies, 0
Endangered species recover humans, 0
Future of Fisheries, 1
Pricing Nature, 0
Subterranean Galapagos Deep Inside the Earth, 0
Cacti are conquering the Swiss alps, 0
bird species, 0
Botanical gardens act as artificial oases for butterflies in arid urban areas, 0
Ecologists bumblebees, 0
Amazon rainforest now emitting more CO2 than it absorbs, 0
Hungry for fungi: green mycoheterotrophic plants, 0
Climate change biological clock of forest floor, 0
Gray Wolf Recovery and Survival, 0
Acidification in the Arctic Ocean (ocean basins), 1
Era of Pandemics We Must Protect Nature, 0
Endangered vultures wind farm in Greek mountains, 0
plant dictionary, 0
Ocean biodiversity protecting marine biodiversity in waters, 1
Save the Red Squirrels, 0
Terrestrial species maintaining ecosystems #GlobalCarbonFeeAndDividendPetition, 0
Amur leopard cubs were born at Zoo, 0
Fraudulent Wolf Depredation Permits ; hunting guides for ranchers, 0
trees, 0
Zamiaceae family tree evolution plants breathe, 0
genome grow genetically modified lines of corn, 0
conservation lake, 1
Dam wall for conservation biodiversity lakes, 1
Microbes Shape the Biodiversity of Taiga Forests, 0
biodiversity conservation lake in Dorset UK, 1
A book about trees and fungi, 0
The Brazilian savanna at risk because of the combination of disturbances, 0
British forces could be sent to stop countries cutting down rainforests William Hague says, 0
Biodiversity lake project, 1
extreme fire impacts Australian invertebrates, 0
Sounds of Silence: Extinction Is Erasing the Earth's Music, 0
From Deforestation to the Pandemic: How Destroying Ecosystems Increases Novel Infectious Diseases, 0
Glow a bioluminescent algae that live in the local water, 1
How to Save Saltwater Wetlands From Rising Seas, 1
On the blue revolution and its potential to change global agriculture, 0
Urban environments and climate change: how do we choose resilient urban trees for the future, 0
Plain language summary: bird observations suggest growing bond between feathered friends, 0
America's Amazon ? Alabama's Mobile River basin has the most aquatic biodiversity, 1
Cockroaches the main pollinator of a Chinese flower, 0
Removal of invasive species from a lake, 1
Octopuses Can Taste You With Their Arms. Here's How That's Possible, 1
Endangered reptiles need urgent action in the age of climate change, 0
Bad news for bats: As consumption of the drink hits record levels in the wild agave plants are dwindling, 0
Small Spiders Have Big Brains That Spill Into Their Legs, 0
World Fails to Meet a Single Biodiversity Target According to a New UN Report, 0
Park Service Finalizes Disastrous Point Reyes Plan to Kill Native Wildlife Prioritize Commercial Livestock Grazing, 0
Humans exploiting and destroying nature on unprecedented scale, 0
